iter	MultiClass
0	1.046286191
1	1.004382597
2	0.9693607111
3	0.9411263084
4	0.91626673
5	0.894305746
6	0.8760445257
7	0.8573240622
8	0.8427740992
9	0.828850632
10	0.8164243218
11	0.8041156198
12	0.792871592
13	0.7827789832
14	0.7732939459
15	0.7647749649
16	0.7575825512
17	0.7501368895
18	0.7424954321
19	0.734645896
20	0.7286000836
21	0.7225919376
22	0.7162193244
23	0.7098771196
24	0.7043014146
25	0.6982688206
26	0.6936038386
27	0.6885891625
28	0.684853654
29	0.6794332997
30	0.6752467413
31	0.6708244162
32	0.6663998063
33	0.6624459927
34	0.6583637198
35	0.6545714619
36	0.6508752794
37	0.6469023555
38	0.6432496191
39	0.6399368761
40	0.6368749559
41	0.6338143328
42	0.6303831368
43	0.6265012218
44	0.6230683822
45	0.6195676367
46	0.6161703527
47	0.6136406135
48	0.6104660656
49	0.6075389928
50	0.6041360787
51	0.6010658244
52	0.5988460589
53	0.5961546372
54	0.5932572414
55	0.5903186223
56	0.5877173282
57	0.5849347501
58	0.5822632557
59	0.5795451714
60	0.5771036829
61	0.5751687573
62	0.5724565387
63	0.5700846131
64	0.5672408159
65	0.564905359
66	0.5628208918
67	0.5607654398
68	0.558734423
69	0.5567762417
70	0.554320653
71	0.5522587754
72	0.5503974118
73	0.5486698972
74	0.546839062
75	0.5449165208
76	0.5430271339
77	0.5409058315
78	0.5390569273
79	0.5371838005
80	0.535635074
81	0.5339848471
82	0.53216389
83	0.5302526564
84	0.5284453178
85	0.5264905514
86	0.5249135493
87	0.5233856755
88	0.5215293118
89	0.5198168999
90	0.5180405488
91	0.5166075321
92	0.5151633718
93	0.5136755951
94	0.5123296794
95	0.5110390147
96	0.5093872405
97	0.5080321454
98	0.5066051007
99	0.5046612035
100	0.5031537862
101	0.501820655
102	0.5004964672
103	0.499180035
104	0.4977316326
105	0.4965934846
106	0.4953980892
107	0.4939156245
108	0.4925179656
109	0.4912085934
110	0.4895876001
111	0.4884052874
112	0.4868343151
113	0.4857670903
114	0.4843803991
115	0.4829441049
116	0.4815234805
117	0.4802403439
118	0.4785789046
119	0.4773618607
120	0.4759487491
121	0.4745331428
122	0.4732325069
123	0.4720700644
124	0.4708419061
125	0.4693695234
126	0.4682875591
127	0.466835438
128	0.4657744685
129	0.4641726285
130	0.4630009958
131	0.4620915367
132	0.4611401934
133	0.4601733493
134	0.4588249453
135	0.4577644305
136	0.4565814144
137	0.4554506397
138	0.4546109383
139	0.4534467942
140	0.4524644528
141	0.4511680861
142	0.4496998496
143	0.4486367304
144	0.44776905
145	0.4466174884
146	0.4454889874
147	0.4440889276
148	0.4431628594
149	0.4423885378
150	0.4414335131
151	0.4401486682
152	0.4392807966
153	0.4383929854
154	0.4375519823
155	0.43627583
156	0.4353642594
157	0.4344115759
158	0.4333855897
159	0.4325640174
160	0.4317591318
161	0.4309608572
162	0.4299892666
163	0.4292222178
164	0.4284286633
165	0.4274533249
166	0.4266971125
167	0.4257902141
168	0.4251117477
169	0.4241383424
170	0.4235318066
171	0.4229428955
172	0.4221683963
173	0.4212521969
174	0.420447326
175	0.4199563968
176	0.4192411361
177	0.4181299301
178	0.4174017421
179	0.4166534484
180	0.4160012259
181	0.4148300228
182	0.4140451406
183	0.4131408333
184	0.4123756781
185	0.4116015195
186	0.4110483235
187	0.4101313253
188	0.409419262
189	0.4086367407
190	0.4080819337
191	0.4076432672
192	0.4070679202
193	0.4064067028
194	0.4057711501
195	0.4051781792
196	0.4045129412
197	0.4036698497
198	0.4030693186
199	0.402500347
200	0.4017429254
201	0.4011538061
202	0.40059814
203	0.4000884759
204	0.3996294913
205	0.3990051637
206	0.3985558266
207	0.3977706541
208	0.397243097
209	0.3965873169
210	0.3960400074
211	0.3952248935
212	0.3944648238
213	0.3937680508
214	0.3929486576
215	0.392504215
216	0.3919606093
217	0.3915376024
218	0.3909965598
219	0.3905194745
220	0.3896582981
221	0.38914073
222	0.3887104635
223	0.3882833312
224	0.3877288788
225	0.3871257113
226	0.3867020025
227	0.385781513
228	0.3850152474
229	0.3843626176
230	0.3838285621
231	0.3831318379
232	0.3827240759
233	0.3817758418
234	0.3814676108
235	0.380801277
236	0.3801831009
237	0.3796420128
238	0.3789470832
239	0.3785000084
240	0.3776871475
241	0.3773182996
242	0.3768624074
243	0.3763519782
244	0.3756374177
245	0.3752788927
246	0.3747705653
247	0.3743491788
248	0.3739096536
249	0.3734969346
250	0.3727654865
251	0.3722640987
252	0.3718866154
253	0.3712657757
254	0.3706482201
255	0.3702750024
256	0.3699516211
257	0.3694896376
258	0.3688680477
259	0.3684647
260	0.3677922954
261	0.3671353338
262	0.3665714945
263	0.3662096388
264	0.3658210879
265	0.3653522294
266	0.3649784226
267	0.3644568287
268	0.3641132923
269	0.3639327352
270	0.3636631118
271	0.3632765725
272	0.3626106081
273	0.361851206
274	0.361573572
275	0.3612004214
276	0.3609161331
277	0.360522949
278	0.3602554421
279	0.3595716402
280	0.3592721195
281	0.3588650072
282	0.3585419665
283	0.3582938707
284	0.3580041017
285	0.3575807694
286	0.3572395687
287	0.3568796819
288	0.3565955081
289	0.3561534573
290	0.3558674949
291	0.3554545389
292	0.3550654216
293	0.3546647809
294	0.3542768562
295	0.3539707048
296	0.3535738725
297	0.3532284349
298	0.3529335523
299	0.3526055326
300	0.3523081205
301	0.3520351009
302	0.3515583719
303	0.3510473823
304	0.3507011789
305	0.3504139044
306	0.3500171078
307	0.3496960968
308	0.3494709163
309	0.3492542227
310	0.3486748942
311	0.3484383616
312	0.3481257272
313	0.3478677862
314	0.3473551386
315	0.3471587672
316	0.3468254636
317	0.3464026014
318	0.3460774488
319	0.3456474509
320	0.3451853919
321	0.3448409438
322	0.344267661
323	0.3438274727
324	0.3436254197
325	0.3432114814
326	0.3429330204
327	0.3426745904
328	0.3425231398
329	0.3423872127
330	0.342098118
331	0.3418007811
332	0.3413886563
333	0.3412564222
334	0.341062232
335	0.3408692853
336	0.3406843257
337	0.3403930244
338	0.3401849922
339	0.3400113165
340	0.3397952981
341	0.3394980556
342	0.3387625722
343	0.3384610781
344	0.3381661614
345	0.337897609
346	0.3375756952
347	0.3372710721
348	0.336932793
349	0.3365932532
350	0.3363555269
351	0.3361305794
352	0.3358814689
353	0.3357617463
354	0.3355846846
355	0.3354034709
356	0.3350453781
357	0.3348137836
358	0.3343583634
359	0.3341217134
360	0.3338345524
361	0.3336638448
362	0.3334451028
363	0.3330599104
364	0.3328902563
365	0.3325888588
366	0.3319414429
367	0.3316422144
368	0.3315079648
369	0.3312954447
370	0.3310158239
371	0.3308677295
372	0.3305031705
373	0.3301201822
374	0.329823262
375	0.3295182351
376	0.3291692928
377	0.3290844564
378	0.3289008961
379	0.3287035912
380	0.3283257521
381	0.3280682888
382	0.3276743836
383	0.3274896205
384	0.3272503091
385	0.3271015466
386	0.3269423554
387	0.3266406699
388	0.3264871551
389	0.3263511758
390	0.3258579727
391	0.3256885397
392	0.3253311505
393	0.3251521738
394	0.3249653821
395	0.3248094153
396	0.3246694728
397	0.3244802198
398	0.3242338886
399	0.324005047
400	0.3237780036
401	0.3235784661
402	0.323398719
403	0.3231557006
404	0.3229677684
405	0.3228529719
406	0.3226417705
407	0.3222714885
408	0.3220966013
409	0.3217082065
410	0.3215468087
411	0.3213382203
412	0.3211747192
413	0.3204258945
414	0.3201090259
415	0.319929139
416	0.3196907792
417	0.319540759
418	0.3194743826
419	0.3192489844
420	0.3190743032
