iter	Passed	Remaining
0	604	603910
1	1063	530754
2	1463	486419
3	1822	453912
4	2213	440431
5	2536	420204
6	3009	426963
7	3376	418746
8	3751	413104
9	4122	408168
10	4440	399238
11	4779	393493
12	5099	387147
13	5428	382289
14	5739	376878
15	6099	375098
16	6407	370477
17	6759	368765
18	7085	365855
19	7388	362013
20	7732	360460
21	8055	358117
22	8379	355957
23	8699	353799
24	9002	351084
25	9317	349034
26	9617	346594
27	9945	345257
28	10283	344313
29	10643	344154
30	10988	343483
31	11301	341875
32	11613	340299
33	11952	339583
34	12264	338163
35	12583	336948
36	12885	335367
37	13193	334012
38	13511	332932
39	13829	331919
40	14134	330600
41	14440	329372
42	14745	328170
43	15046	326908
44	15351	325794
45	15672	325034
46	15972	323859
47	16328	323842
48	16636	322874
49	16987	322764
50	17325	322387
51	17676	322264
52	18096	323346
53	18658	326875
54	19111	328374
55	19470	328217
56	19852	328440
57	20178	327723
58	20527	327395
59	20910	327592
60	21304	327945
61	21693	328195
62	22168	329712
63	22654	331319
64	23033	331330
65	23332	330190
66	23632	329085
67	23942	328158
68	24290	327740
69	24587	326663
70	24884	325601
71	25187	324636
72	25475	323506
73	25791	322742
74	26129	322269
75	26609	323520
76	26912	322606
77	27199	321515
78	27503	320638
79	27818	319916
80	28110	318937
81	28423	318209
82	28720	317310
83	29003	316279
84	29286	315262
85	29591	314497
86	29908	313869
87	30190	312882
88	30477	311964
89	30772	311140
90	31094	310607
91	31394	309845
92	31700	309164
93	31979	308228
94	32276	307477
95	32556	306571
96	32847	305784
97	33125	304887
98	33408	304053
99	33704	303336
100	34000	302638
101	34292	301908
102	34596	301294
103	34889	300590
104	35172	299805
105	35468	299142
106	35763	298478
107	36067	297888
108	36376	297350
109	36724	297136
110	37038	296641
111	37335	296015
112	37619	295299
113	37921	294719
114	38236	294253
115	38514	293503
116	38800	292829
117	39095	292221
118	39399	291691
119	39716	291254
120	40022	290738
121	40305	290070
122	40611	289565
123	40929	289143
124	41267	288872
125	41571	288364
126	41853	287700
127	42138	287066
128	42420	286423
129	42694	285726
130	42975	285081
131	43247	284381
132	43532	283779
133	43823	283219
134	44121	282703
135	44420	282201
136	44728	281759
137	45054	281426
138	45357	280952
139	45666	280523
140	45942	279891
141	46227	279318
142	46508	278728
143	46832	278393
144	47127	277887
145	47429	277429
146	47745	277050
147	48072	276742
148	48386	276355
149	48698	275956
150	49025	275648
151	49323	275173
152	49632	274761
153	49924	274262
154	50204	273693
155	50492	273178
156	50818	272864
157	51116	272406
158	51404	271893
159	51703	271442
160	51981	270884
161	52267	270372
162	52544	269812
163	52823	269273
